<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;20220606;000000;63.2500000;63.2500000;59.0000000;61.3812000;818
USDRUB;D;20220607;000000;60.7750000;62.2750000;60.2495000;61.0000000;936
USDRUB;D;20220608;000000;60.9000000;62.0148000;57.6250000;60.7400000;1002
USDRUB;D;20220609;000000;60.2475000;60.2475000;55.3750000;58.0124000;1118
USDRUB;D;20220610;000000;59.0208000;59.4000000;55.1250000;55.1250000;1146
USDRUB;D;20220612;000000;57.5000000;57.5000000;57.5000000;57.5000000;3
USDRUB;D;20220613;000000;57.5000000;58.1870000;55.7875000;57.4804000;936
USDRUB;D;20220614;000000;57.0000000;59.0000000;56.2000000;58.3542000;1212
USDRUB;D;20220615;000000;57.1880000;58.5250000;54.7500000;57.2212000;1217
USDRUB;D;20220616;000000;57.0000000;58.8035000;55.6270000;58.5348000;1911
USDRUB;D;20220617;000000;57.7500000;57.7750000;54.9250000;56.5000000;1148
USDRUB;D;20220619;000000;56.0000000;56.5010000;56.0000000;56.0000000;7
USDRUB;D;20220620;000000;56.5000000;57.1250000;52.8700000;54.0000000;1324
USDRUB;D;20220621;000000;55.6921000;55.6963000;49.8750000;53.1250000;1272
USDRUB;D;20220622;000000;53.8000000;54.6250000;51.8750000;54.0000000;1156
USDRUB;D;20220623;000000;53.1500000;55.0000000;52.9755000;54.4869000;1104
USDRUB;D;20220624;000000;53.5000000;54.5000000;52.7250000;53.6000000;1067
USDRUB;D;20220626;000000;52.6500000;53.3983000;52.6500000;53.3708000;15
USDRUB;D;20220627;000000;51.7000000;54.8000000;51.7000000;53.1000000;539
USDRUB;D;20220628;000000;53.1000000;54.3010000;51.9015000;53.0000000;1604
USDRUB;D;20220629;000000;51.8000000;54.7500000;50.5850000;51.9783000;1089
USDRUB;D;20220630;000000;51.9850000;54.8250000;51.5000000;54.1250000;624
USDRUB;D;20220701;000000;52.3750000;57.7500000;51.4850000;55.2500000;834
USDRUB;D;20220703;000000;53.9999000;53.9999000;53.9433000;53.9495000;12
USDRUB;D;20220704;000000;53.5000000;56.5320000;53.4500000;56.2500000;611
USDRUB;D;20220705;000000;54.9850000;65.2500000;54.2500000;61.7500000;696
USDRUB;D;20220706;000000;62.0000000;68.4500000;60.0000000;62.8000000;695
USDRUB;D;20220707;000000;63.1350000;64.3750000;62.1665000;63.0679000;869
USDRUB;D;20220708;000000;63.0703000;64.6500000;60.5025000;63.0000000;793
USDRUB;D;20220710;000000;64.1500000;64.9087000;64.1500000;64.9074000;13
USDRUB;D;20220711;000000;61.0000000;64.2500000;60.9850000;64.2500000;450
USDRUB;D;20220712;000000;62.0000000;62.2500000;57.5000000;58.4195000;2033
USDRUB;D;20220713;000000;58.4184000;61.0000000;57.6250000;58.4568000;718
USDRUB;D;20220714;000000;58.4378000;60.2500000;57.7750000;58.2678000;517
USDRUB;D;20220715;000000;58.2693000;59.7000000;55.5000000;55.5000000;659
USDRUB;D;20220717;000000;55.5000000;55.5000000;55.5000000;55.5000000;10
USDRUB;D;20220718;000000;55.5000000;58.0670000;55.5000000;57.0075000;853
USDRUB;D;20220719;000000;56.3682000;57.2000000;54.9850000;56.4543000;793
USDRUB;D;20220720;000000;55.0000000;56.2500000;53.7500000;54.2500000;995
USDRUB;D;20220721;000000;55.0850000;58.0500000;54.2195000;58.0053000;521
USDRUB;D;20220722;000000;57.1235000;59.0500000;55.2015000;57.9250000;2377
USDRUB;D;20220724;000000;57.3750000;58.1229000;57.3750000;58.0948000;16
USDRUB;D;20220725;000000;57.5850000;58.8000000;57.0310000;57.7500000;4714
USDRUB;D;20220726;000000;56.5000000;60.9490000;56.5000000;60.0473000;678
USDRUB;D;20220727;000000;57.5000000;61.5500000;57.5000000;59.3575000;1005
USDRUB;D;20220728;000000;59.3222000;62.3000000;59.2350000;61.7500000;900
USDRUB;D;20220729;000000;60.0000000;63.5500000;60.0000000;61.5000000;815
USDRUB;D;20220731;000000;61.5000000;62.2389000;59.8750000;61.5000000;6
USDRUB;D;20220801;000000;61.2850000;64.0500000;59.5000000;60.7500000;1113
USDRUB;D;20220802;000000;61.6250000;62.1750000;57.7500000;59.3750000;1190
USDRUB;D;20220803;000000;59.7750000;63.3750000;59.7325000;60.8600000;518
USDRUB;D;20220804;000000;60.5000000;61.9940000;58.9250000;61.8456000;772
USDRUB;D;20220805;000000;60.9250000;61.1750000;59.8670000;60.5349000;1014
USDRUB;D;20220807;000000;60.5000000;60.5280000;60.4750000;60.5153000;42
USDRUB;D;20220808;000000;60.5223000;61.6750000;59.0000000;61.1250000;3348
USDRUB;D;20220809;000000;60.2350000;61.9250000;59.3750000;60.4649000;2059
USDRUB;D;20220810;000000;60.4675000;61.5500000;59.7250000;61.5024000;1295
USDRUB;D;20220811;000000;60.3850000;61.8020000;59.6000000;60.6188000;1117
USDRUB;D;20220812;000000;60.5965000;62.1500000;59.2500000;60.7500000;995
USDRUB;D;20220814;000000;60.7500000;61.5011000;60.7500000;61.5011000;22
USDRUB;D;20220815;000000;61.5500000;62.0000000;60.0000000;61.4846000;727
USDRUB;D;20220816;000000;60.0000000;61.6234000;59.6000000;61.4873000;1018
USDRUB;D;20220817;000000;60.5000000;61.3000000;59.2000000;60.4716000;1519
USDRUB;D;20220818;000000;59.2000000;60.8114000;58.6000000;59.9819000;1049
USDRUB;D;20220819;000000;58.7500000;59.7224000;57.7500000;58.7500000;1042
USDRUB;D;20220821;000000;58.7500000;59.4963000;58.7500000;59.4858000;15
USDRUB;D;20220822;000000;58.2500000;60.1750000;58.2500000;60.1236000;651
USDRUB;D;20220823;000000;59.5350000;60.3881000;58.0000000;59.5000000;628
